code,description
GAS_CONSUM_CHN,"Natural Gas Consumption - China. Billion Cubic Metres. As far as possible, the data represents standard cubic metres (measured at 15oC and 1013 mbar); as they are derived directly from tonnes of oil equivalent using an average conversion factor, they do not necessarily equate with gas volumes expressed in specific national terms. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data."
GAS_CONSUM_D_CHN,"Natural Gas Consumption - Daily Average - China. Billion cubic feet per day. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. As the data above are derived from tonnes oil equivalent using average conversion factors, they do not necessarily equate with gas volumes expressed in specific national terms. Annual changes and shares of total are calculated in million tonnes of oil equilevent figures. Growth rates are adjusted for leap years."
GAS_CONSUM_D_HKG,"Natural Gas Consumption - Daily Average - China Hong Kong SAR. Billion cubic feet per day. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. As the data above are derived from tonnes oil equivalent using average conversion factors, they do not necessarily equate with gas volumes expressed in specific national terms. Annual changes and shares of total are calculated in million tonnes of oil equilevent figures. Growth rates are adjusted for leap years."
GAS_CONSUM_HKG,"Natural Gas Consumption - China Hong Kong SAR. Billion Cubic Metres. As far as possible, the data represents standard cubic metres (measured at 15oC and 1013 mbar); as they are derived directly from tonnes of oil equivalent using an average conversion factor, they do not necessarily equate with gas volumes expressed in specific national terms. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data."
GAS_CONSUM_O_CHN,"Natural Gas Consumption - Oil Equivalent - China. Million tonnes oil equivalent. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. Growth rates are adjusted for leap years."
GAS_CONSUM_O_HKG,"Natural Gas Consumption - Oil Equivalent - China Hong Kong SAR. Million tonnes oil equivalent. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. Growth rates are adjusted for leap years."
GAS_PROD_CHN,"Natural Gas Production - China. Billion Cubic Metres. As far as possible, the data represents standard cubic metres measured at 15oC and 1013 millibar (mbar); as they are derived directly from tonnes of oil equivalent using an average conversion factor, they do not necessarily equate with gas volumes expressed in specific national terms."
GAS_PROD_D_CHN,"Natural Gas Production - Daily Average - China. Billion cubic feet per day. As the data above are derived from tonnes oil equivalent using average conversion factors, they do not necessarily equate with gas volumes expressed in specific national terms. Annual changes and shares of total are calculated in million tonnes of oil equilevent figures. Growth rates are adjusted for leap years."
GAS_PROD_O_CHN,Natural Gas Production - Oil Equivalent - China. Million tonnes oil equivalent. Growth rates are adjusted for leap years.
GAS_RESERVES_CHN,Proved Natural Gas Reserves - China. Trillion Cubic Metres. Proved reserves of natural gas - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions.
GEO_CAP_CHN,Geothermal Power Capacity - China. Megawatts. Renewable energy. Cumulative installed geothermal power capacity.
GEO_CONSUM_CHN,Geothermal and Biomass Power Consumption - China. Terawatt-hours. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Growth rates are adjusted for leap years.
GEO_CONSUM_HKG,Geothermal and Biomass Power Consumption - China Hong Kong SAR. Terawatt-hours. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Growth rates are adjusted for leap years.
GEO_CONSUM_O_CHN,Geothermal and Biomass Power Consumption - Oil Equivalent - China. Million Tonnes oil equivalent. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
GEO_CONSUM_O_HKG,Geothermal and Biomass Power Consumption - Oil Equivalent - China Hong Kong SAR. Million Tonnes oil equivalent. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
HYDRO_CONSUM_CHN,Hydroelectric Consumption - China. Terawatt hours. Based on gross primary hydroelectric generation and not accounting for cross-border electricity supply.
HYDRO_CONSUM_HKG,Hydroelectric Consumption - China Hong Kong SAR. Terawatt hours. Based on gross primary hydroelectric generation and not accounting for cross-border electricity supply.
HYDRO_CONSUM_O_CHN,Hydroelectric Consumption - Oil Equivalent - China. Million Tonnes oil equivalent. Based on gross primary hydroelectric generation and not accounting for cross-border electricity supply.  Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
HYDRO_CONSUM_O_HKG,Hydroelectric Consumption - Oil Equivalent - China Hong Kong SAR. Million Tonnes oil equivalent. Based on gross primary hydroelectric generation and not accounting for cross-border electricity supply.  Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
NUC_CONSUM_CHN,Nuclear Power Consumption - China. Terawatt-Hours. Based on gross generation and not accounting for cross-border electricity supply.
NUC_CONSUM_HKG,Nuclear Power Consumption - China Hong Kong SAR. Terawatt-Hours. Based on gross generation and not accounting for cross-border electricity supply.
NUC_CONSUM_O_CHN,Nuclear Power Consumption - Oil Equivalent - China. Million Tonnes oil equivalent. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
NUC_CONSUM_O_HKG,Nuclear Power Consumption - Oil Equivalent - China Hong Kong SAR. Million Tonnes oil equivalent. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
OIL_CONSUM_CHN,Oil Consumption - China. Million tonnes. Inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of fuel ethanol and biodiesel is also included.
OIL_CONSUM_D_CHN,Oil Consumption - Daily Average - China. 1000 Barrels per Day. Inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of fuel ethanol and biodiesel is also included.
OIL_CONSUM_D_HKG,Oil Consumption - Daily Average - China Hong Kong SAR. 1000 Barrels per Day. Inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of fuel ethanol and biodiesel is also included.
OIL_CONSUM_HKG,Oil Consumption - China Hong Kong SAR. Million tonnes. Inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of fuel ethanol and biodiesel is also included.
OIL_PROD_CHN,"Oil Production - China. Million tonnes. Includes crude oil, shale oil, oil sands and NGLs (the liquid content of natural gas where this is recovered separately).  Excludes liquid fuels from other sources such as biomass and coal derivatives."
OIL_PROD_D_CHN,"Oil Production - Daily Average - China. 1000 Barrels per Day. Includes crude oil, shale oil, oil sands and NGLs (the liquid content of natural gas where this is recovered separately).  Excludes liquid fuels from other sources such as biomass and coal derivatives."
OIL_REF_CAP_CHN,Oil Refinery Capacity - China. 1000 Barrels per Day. Atmospheric distillation capacity on a calendar-day basis.
OIL_REF_THR_CHN,Oil Refinery Throughputs - China. 1000 Barrels per Day. Input to primary distallation units only.
OIL_RESERVES_CHN,Proved Oil Reserves - China. Billion Barrels. Values are generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing  economic and operating conditions.
PRIMARY_CONSUM_O_CHN,Primary Energy Consumption - Oil Equivalent - China. Million Tonnes oil equivalent. Primary energy comprises commercially traded fuels including modern renewables used to generate electricity. Growth rates are adjusted for leap years.
PRIMARY_CONSUM_O_HKG,Primary Energy Consumption - Oil Equivalent - China Hong Kong SAR. Million Tonnes oil equivalent. Primary energy comprises commercially traded fuels including modern renewables used to generate electricity. Growth rates are adjusted for leap years.
SOLAR_CAP_CHN,Solar Power Capacity - China. Megawatts. Renewable energy. Cumulative installed photovoltaic (PV) power.
SOLAR_CONSUM_CHN,Solar Power Consumption - China. Terawatt-hours. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Annual changes and shares of total are based on data expressed in tonnes oil equivalent. Growth rates are adjusted for leap years.
SOLAR_CONSUM_HKG,Solar Power Consumption - China Hong Kong SAR. Terawatt-hours. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Annual changes and shares of total are based on data expressed in tonnes oil equivalent. Growth rates are adjusted for leap years.
SOLAR_CONSUM_O_CHN,Solar Power Consumption - Oil Equivalent - China. Million Tonnes oil equivalent. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
SOLAR_CONSUM_O_HKG,Solar Power Consumption - Oil Equivalent - China Hong Kong SAR. Million Tonnes oil equivalent. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
WIND_CAP_CHN,Wind Power Capacity - China. Megawatts. Renewable energy. Cumulative installed wind turbine capacity.
WIND_CONSUM_CHN,Wind Power Consumption - China. Terawatt-hours. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Growth rates are adjusted for leap years.
WIND_CONSUM_HKG,Wind Power Consumption - China Hong Kong SAR. Terawatt-hours. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Growth rates are adjusted for leap years.
WIND_CONSUM_O_CHN,Wind Power Consumption - Oil Equivalent - China. Million Tonnes oil equivalent. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
WIND_CONSUM_O_HKG,Wind Power Consumption - Oil Equivalent - China Hong Kong SAR. Million Tonnes oil equivalent. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
