code,description
GAS_PROD_D_DEU,"Natural Gas Production - Daily Average - Germany. Billion cubic feet per day. As the data above are derived from tonnes oil equivalent using average conversion factors, they do not necessarily equate with gas volumes expressed in specific national terms. Annual changes and shares of total are calculated in million tonnes of oil equilevent figures. Growth rates are adjusted for leap years."
GAS_PROD_DEU,"Natural Gas Production - Germany. Billion Cubic Metres. As far as possible, the data represents standard cubic metres measured at 15oC and 1013 millibar (mbar); as they are derived directly from tonnes of oil equivalent using an average conversion factor, they do not necessarily equate with gas volumes expressed in specific national terms."
GAS_PROD_O_DEU,Natural Gas Production - Oil Equivalent - Germany. Million tonnes oil equivalent. Growth rates are adjusted for leap years.
GAS_RESERVES_DEU,Proved Natural Gas Reserves - Germany. Trillion Cubic Metres. Proved reserves of natural gas - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions.
GEO_CAP_DEU,Geothermal Power Capacity - Germany. Megawatts. Renewable energy. Cumulative installed geothermal power capacity.
GEO_CONSUM_DEU,Geothermal and Biomass Power Consumption - Germany. Terawatt-hours. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Growth rates are adjusted for leap years.
GEO_CONSUM_O_DEU,Geothermal and Biomass Power Consumption - Oil Equivalent - Germany. Million Tonnes oil equivalent. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
HYDRO_CONSUM_DEU,Hydroelectric Consumption - Germany. Terawatt hours. Based on gross primary hydroelectric generation and not accounting for cross-border electricity supply.
HYDRO_CONSUM_O_DEU,Hydroelectric Consumption - Oil Equivalent - Germany. Million Tonnes oil equivalent. Based on gross primary hydroelectric generation and not accounting for cross-border electricity supply.  Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
NUC_CONSUM_DEU,Nuclear Power Consumption - Germany. Terawatt-Hours. Based on gross generation and not accounting for cross-border electricity supply.
NUC_CONSUM_O_DEU,Nuclear Power Consumption - Oil Equivalent - Germany. Million Tonnes oil equivalent. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
OIL_CONSUM_D_DEU,Oil Consumption - Daily Average - Germany. 1000 Barrels per Day. Inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of fuel ethanol and biodiesel is also included.
OIL_CONSUM_DEU,Oil Consumption - Germany. Million tonnes. Inland demand plus international aviation and marine bunkers and refinery fuel and loss. Consumption of fuel ethanol and biodiesel is also included.
OIL_REF_CAP_DEU,Oil Refinery Capacity - Germany. 1000 Barrels per Day. Atmospheric distillation capacity on a calendar-day basis.
PRIMARY_CONSUM_O_DEU,Primary Energy Consumption - Oil Equivalent - Germany. Million Tonnes oil equivalent. Primary energy comprises commercially traded fuels including modern renewables used to generate electricity. Growth rates are adjusted for leap years.
SOLAR_CAP_DEU,Solar Power Capacity - Germany. Megawatts. Renewable energy. Cumulative installed photovoltaic (PV) power.
SOLAR_CONSUM_DEU,Solar Power Consumption - Germany. Terawatt-hours. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Annual changes and shares of total are based on data expressed in tonnes oil equivalent. Growth rates are adjusted for leap years.
SOLAR_CONSUM_O_DEU,Solar Power Consumption - Oil Equivalent - Germany. Million Tonnes oil equivalent. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
WIND_CAP_DEU,Wind Power Capacity - Germany. Megawatts. Renewable energy. Cumulative installed wind turbine capacity.
WIND_CONSUM_DEU,Wind Power Consumption - Germany. Terawatt-hours. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Growth rates are adjusted for leap years.
WIND_CONSUM_O_DEU,Wind Power Consumption - Oil Equivalent - Germany. Million Tonnes oil equivalent. Renewable energy. Based on gross generation and not accounting for cross-border electricity supply. Converted on the basis of thermal equivalence assuming 38% conversion efficiency in a modern thermal power station. Growth rates are adjusted for leap years.
